SUBURB_NAME,DATE_MONTH,avg_land_value,property_count,DATE_MONTH_QDATE,property_count_int,avg_land_value_decimal
QUEANBEYAN,2019-07-01,"440782.03218116774","1678",2019/07/01,"1678",440782.03
HAMILTON NORTH,2019-07-01,"440772.25427872862","409",2019/07/01,"409",440772.25
LADE VALE,2018-07-01,"440731.28571428568","70",2018/07/01,"70",440731.29
POINT CLARE,2020-07-01,"440708.97826086945","1380",2020/07/01,"1380",440708.98
WOY WOY BAY,2016-07-01,"440691.06666666665","225",2016/07/01,"225",440691.07
DELUNGRA,2020-07-01,"440624.62162162148","370",2020/07/01,"370",440624.62
WOONONA,2016-07-01,"440607.89054197649","3764",2016/07/01,"3764",440607.89
SAUMAREZ,2016-07-01,"440583.33333333326","36",2016/07/01,"36",440583.33
HAMPTON,2020-07-01,"440541.68604651158","172",2020/07/01,"172",440541.69
BUCKENDOON,2017-07-01,"440502.10526315792","19",2017/07/01,"19",440502.11
MINNIE WATER,2020-07-01,"440473.37016574584","181",2020/07/01,"181",440473.37
EMPIRE VALE,2019-07-01,"440471.1214953271","107",2019/07/01,"107",440471.12
ARRAWARRA,2016-07-01,"440461.5384615385","65",2016/07/01,"65",440461.54
BARMEDMAN,2019-07-01,"440385.26178010477","382",2019/07/01,"382",440385.26
CULBURRA BEACH,2020-07-01,"440315.02465262188","2231",2020/07/01,"2231",440315.02
CURLEWIS,2020-07-01,"440313.16397228633","433",2020/07/01,"433",440313.16
COLO VALE,2017-07-01,"440249.03508771909","684",2017/07/01,"684",440249.04
HAMILTON NORTH,2020-07-01,"440190.347188264","409",2020/07/01,"409",440190.35
BINGEEBEEBRA CREEK,2018-07-01,"440152.63157894736","19",2018/07/01,"19",440152.63
TUMBI UMBI,2020-07-01,"440152.32362821983","1786",2020/07/01,"1786",440152.32
TUMBLONG,2019-07-01,"440064.4827586207","174",2019/07/01,"174",440064.48
STOCKRINGTON,2020-07-01,"440034.4827586207","29",2020/07/01,"29",440034.48
CARTWRIGHT,2017-07-01,"439972.74143302185","642",2017/07/01,"642",439972.74
WALLENDBEEN,2017-07-01,"439906.88524590165","183",2017/07/01,"183",439906.89
LIMPINWOOD,2017-07-01,"439833.70370370371","108",2017/07/01,"108",439833.70
FALBROOK,2020-07-01,"439793.75","16",2020/07/01,"16",439793.75
RESERVE CREEK,2016-07-01,"439791.07142857142","56",2016/07/01,"56",439791.07
MOONPAR,2017-07-01,"439766.66666666663","12",2017/07/01,"12",439766.67
